dish_id,total_calories,total_mass_g,total_fat_g,total_carb_g,total_protein_g,ingredients
dish_1560455030,20.59,103.0,0.148,4.625,0.956,"[{""name"": ""cherry tomatoes"", ""grams"": 55.0}, {""name"": ""cucumbers"", ""grams"": 29.0}, {""name"": ""baby carrots"", ""grams"": 19.0}]"
dish_1566245398,506.355377,230.0,31.183908,4.258222,49.023197,"[{""name"": ""olive oil"", ""grams"": 0.140073}, {""name"": ""lime"", ""grams"": 1.120585}, {""name"": ""salt"", ""grams"": 0.560292}, {""name"": ""garlic"", ""grams"": 1.120585}, {""name"": ""cauliflower"", ""grams"": 11.205847}, {""name"": ""steak"", ""grams"": 84.043846}, {""name"": ""roast chicken"", ""grams"": 115.0}, {""name"": ""wheat berry"", ""grams"": 16.808769}]"
dish_1551233434,27.23,104.0,0.292,5.182,2.334,"[{""name"": ""mushroom"", ""grams"": 24.0}, {""name"": ""cucumbers"", ""grams"": 27.0}, {""name"": ""broccoli"", ""grams"": 55.0}]"
dish_1568144803,66.128174,93.0,4.050533,8.068691,0.798856,"[{""name"": ""salt"", ""grams"": 0.229205}, {""name"": ""pepper"", ""grams"": 0.038201}, {""name"": ""carrot"", ""grams"": 61.12138}, {""name"": ""olive oil"", ""grams"": 0.611214}, {""name"": ""olives"", ""grams"": 31.0}]"
dish_1565728415,194.42775,80.0,8.405299,16.724396,12.005533,"[{""name"": ""cheese pizza"", ""grams"": 47.0}, {""name"": ""shallots"", ""grams"": 1.679924}, {""name"": ""spinach (cooked)"", ""grams"": 0.839962}, {""name"": ""onions"", ""grams"": 0.839962}, {""name"": ""olive oil"", ""grams"": 0.167992}, {""name"": ""vinegar"", ""grams"": 0.041998}, {""name"": ""millet"", ""grams"": 3.359847}, {""name"": ""salt"", ""grams"": 0.031499}, {""name"": ""bok choy"", ""grams"": 0.839962}, {""name"": ""beef"", ""grams"": 25.198854}]"
dish_1551236011,281.720001,307.0,4.474,21.995998,38.446003,"[{""name"": ""orange"", ""grams"": 178.0}, {""name"": ""mixed greens"", ""grams"": 12.0}, {""name"": ""chicken"", ""grams"": 118.0}]"
dish_1559841163,357.043518,335.0,18.222002,27.539,21.153002,"[{""name"": ""blackberries"", ""grams"": 53.0}, {""name"": ""scrambled eggs"", ""grams"": 119.0}, {""name"": ""yam"", ""grams"": 33.5}, {""name"": ""sweet potato"", ""grams"": 33.5}, {""name"": ""chicken apple sausage"", ""grams"": 46.0}, {""name"": ""broccoli"", ""grams"": 50.0}]"
dish_1561665024,100.570984,121.0,6.984664,8.948565,2.141329,"[{""name"": ""lemon juice"", ""grams"": 1.754594}, {""name"": ""onions"", ""grams"": 3.509188}, {""name"": ""olive oil"", ""grams"": 6.667457}, {""name"": ""mixed greens"", ""grams"": 43.864849}, {""name"": ""parsley"", ""grams"": 0.438648}, {""name"": ""salt"", ""grams"": 0.219324}, {""name"": ""apple"", ""grams"": 8.77297}, {""name"": ""millet"", ""grams"": 7.018376}, {""name"": ""green beans"", ""grams"": 47.0}, {""name"": ""vinegar"", ""grams"": 1.754594}]"
dish_1565022062,234.606583,366.0,2.846122,30.903877,19.271049,"[{""name"": ""olive oil"", ""grams"": 2.195122}, {""name"": ""egg whites"", ""grams"": 177.0}, {""name"": ""berries"", ""grams"": 99.0}, {""name"": ""sweet potato"", ""grams"": 87.804878}]"
dish_1566488928,103.048294,147.0,2.219561,19.982441,1.327024,"[{""name"": ""cantaloupe"", ""grams"": 61.0}, {""name"": ""sweet potato"", ""grams"": 83.902443}, {""name"": ""olive oil"", ""grams"": 2.097561}]"
dish_1563392128,169.934235,162.0,18.81292,6.487778,21.133221,"[{""name"": ""garlic"", ""grams"": 0.536424}, {""name"": ""cilantro"", ""grams"": 1.072848}, {""name"": ""lemon juice"", ""grams"": 2.145695}, {""name"": ""onions"", ""grams"": 4.291391}, {""name"": ""olive oil"", ""grams"": 4.291391}, {""name"": ""salt"", ""grams"": 0.268212}, {""name"": ""arugula"", ""grams"": 5.364238}, {""name"": ""quinoa"", ""grams"": 21.456953}, {""name"": ""fish"", ""grams"": 107.284767}, {""name"": ""tomatillo"", ""grams"": 10.728477}, {""name"": ""pepper"", ""grams"": 4.291391}, {""name"": ""jalapenos"", ""grams"": 0.268212}]"
dish_1561579617,130.172348,304.0,4.552824,21.115883,4.427353,"[{""name"": ""salt"", ""grams"": 1.382353}, {""name"": ""eggplant"", ""grams"": 138.235291}, {""name"": ""olive oil"", ""grams"": 1.382353}, {""name"": ""cauliflower"", ""grams"": 126.0}, {""name"": ""roasted potatoes"", ""grams"": 37.0}]"
dish_1568649387,163.858185,192.0,5.302399,28.488777,2.512788,"[{""name"": ""olive oil"", ""grams"": 4.80994}, {""name"": ""sweet potato"", ""grams"": 29.71698}, {""name"": ""broccoli"", ""grams"": 49.7561}, {""name"": ""berries"", ""grams"": 78.0}, {""name"": ""yam"", ""grams"": 29.71698}]"
dish_1565370004,570.884766,370.0,41.655426,11.23975,36.877651,"[{""name"": ""bacon"", ""grams"": 31.0}, {""name"": ""olive oil"", ""grams"": 2.575}, {""name"": ""scrambled eggs"", ""grams"": 236.0}, {""name"": ""green beans"", ""grams"": 100.425003}]"
dish_1566499633,161.386429,139.0,14.183504,8.426495,3.023964,"[{""name"": ""onions"", ""grams"": 7.351352}, {""name"": ""olive oil"", ""grams"": 9.801802}, {""name"": ""vinegar"", ""grams"": 4.900901}, {""name"": ""garlic"", ""grams"": 0.612613}, {""name"": ""salt"", ""grams"": 0.306306}, {""name"": ""sun dried tomatoes"", ""grams"": 4.900901}, {""name"": ""olives"", ""grams"": 37.0}, {""name"": ""cucumbers"", ""grams"": 12.252253}, {""name"": ""spinach (raw)"", ""grams"": 61.261261}, {""name"": ""mustard"", ""grams"": 0.612613}]"
dish_1565379251,32.936092,67.0,0.792689,6.608891,0.59528,"[{""name"": ""salt"", ""grams"": 0.247689}, {""name"": ""pepper"", ""grams"": 0.041282}, {""name"": ""olive oil"", ""grams"": 0.660505}, {""name"": ""carrot"", ""grams"": 66.050522}]"
dish_1562785132,211.542679,192.0,24.6008,10.392798,28.955555,"[{""name"": ""fish"", ""grams"": 150.293549}, {""name"": ""country rice"", ""grams"": 30.058708}, {""name"": ""onions"", ""grams"": 6.011742}, {""name"": ""olive oil"", ""grams"": 3.005871}, {""name"": ""garlic"", ""grams"": 0.751468}, {""name"": ""salt"", ""grams"": 0.375734}, {""name"": ""green onions"", ""grams"": 1.502935}]"
dish_1565895966,214.544357,287.0,9.93185,16.800755,16.543627,"[{""name"": ""bok choy"", ""grams"": 1.42539}, {""name"": ""salt"", ""grams"": 0.053452}, {""name"": ""onions"", ""grams"": 1.42539}, {""name"": ""kale"", ""grams"": 66.0}, {""name"": ""olive oil"", ""grams"": 2.760078}, {""name"": ""vinegar"", ""grams"": 0.071269}, {""name"": ""shallots"", ""grams"": 2.85078}, {""name"": ""green beans"", ""grams"": 96.525002}, {""name"": ""chard"", ""grams"": 66.0}, {""name"": ""beef"", ""grams"": 42.761692}, {""name"": ""spinach (cooked)"", ""grams"": 1.42539}, {""name"": ""millet"", ""grams"": 5.701559}]"
dish_1562784307,158.518127,157.0,5.112942,24.925295,5.678117,"[{""name"": ""salt"", ""grams"": 0.794118}, {""name"": ""pizza"", ""grams"": 32.0}, {""name"": ""olive oil"", ""grams"": 0.794118}, {""name"": ""eggplant"", ""grams"": 79.411766}, {""name"": ""corn on the cob"", ""grams"": 44.0}]"
dish_1561576295,249.067139,232.0,16.084234,23.931339,4.035298,"[{""name"": ""onions"", ""grams"": 4.170213}, {""name"": ""cucumbers"", ""grams"": 20.851065}, {""name"": ""lettuce"", ""grams"": 41.702129}, {""name"": ""bell peppers"", ""grams"": 4.170213}, {""name"": ""roasted potatoes"", ""grams"": 103.0}, {""name"": ""olives"", ""grams"": 35.170212}, {""name"": ""vinaigrette"", ""grams"": 8.340425}, {""name"": ""cherry tomatoes"", ""grams"": 10.425532}, {""name"": ""feta cheese"", ""grams"": 4.170213}]"
dish_1565726812,36.209755,65.0,1.839024,4.439024,1.521951,"[{""name"": ""broccoli"", ""grams"": 63.414635}, {""name"": ""olive oil"", ""grams"": 1.585366}]"
dish_1550860444,207.320007,231.0,5.252,32.472,8.032,"[{""name"": ""potatoes"", ""grams"": 100.0}, {""name"": ""oatmeal"", ""grams"": 128.0}, {""name"": ""bacon"", ""grams"": 8.0}]"
dish_1565811091,504.400024,371.0,17.632,9.06,74.731003,"[{""name"": ""broccoli"", ""grams"": 52.0}, {""name"": ""spinach (raw)"", ""grams"": 20.0}, {""name"": ""carrot"", ""grams"": 47.0}, {""name"": ""chicken"", ""grams"": 205.0}, {""name"": ""goat cheese"", ""grams"": 47.0}]"
dish_1561663817,95.495369,86.0,4.993594,12.891619,2.099187,"[{""name"": ""salt"", ""grams"": 0.124481}, {""name"": ""mixed greens"", ""grams"": 24.896267}, {""name"": ""olive oil"", ""grams"": 3.784232}, {""name"": ""lemon juice"", ""grams"": 0.995851}, {""name"": ""onions"", ""grams"": 1.991701}, {""name"": ""parsley"", ""grams"": 0.248963}, {""name"": ""corn on the cob"", ""grams"": 44.0}, {""name"": ""vinegar"", ""grams"": 0.995851}, {""name"": ""millet"", ""grams"": 3.983402}, {""name"": ""apple"", ""grams"": 4.979253}]"
dish_1560454488,48.244003,42.0,4.500726,1.893843,0.63549,"[{""name"": ""mixed greens"", ""grams"": 21.960785}, {""name"": ""garlic"", ""grams"": 0.411765}, {""name"": ""salt"", ""grams"": 0.137255}, {""name"": ""cucumbers"", ""grams"": 4.392157}, {""name"": ""parsley"", ""grams"": 0.27451}, {""name"": ""olive oil"", ""grams"": 4.392157}, {""name"": ""vinegar"", ""grams"": 2.196079}, {""name"": ""cherry tomatoes"", ""grams"": 5.490196}, {""name"": ""carrot"", ""grams"": 2.745098}]"
dish_1551303476,224.75,177.0,0.738,32.790001,20.697001,"[{""name"": ""shrimp"", ""grams"": 55.0}, {""name"": ""white rice"", ""grams"": 61.0}, {""name"": ""bean(seed)"", ""grams"": 65.0}]"
dish_1563479568,83.673561,82.0,5.109736,8.616775,2.329007,"[{""name"": ""goat cheese"", ""grams"": 1.082228}, {""name"": ""apple"", ""grams"": 5.41114}, {""name"": ""salt"", ""grams"": 0.2878}, {""name"": ""lemon juice"", ""grams"": 2.164456}, {""name"": ""brussels sprouts"", ""grams"": 30.504305}, {""name"": ""olive oil"", ""grams"": 4.633955}, {""name"": ""mustard greens"", ""grams"": 27.055704}, {""name"": ""arugula"", ""grams"": 5.41114}, {""name"": ""pepper"", ""grams"": 0.03813}, {""name"": ""figs"", ""grams"": 5.41114}]"
dish_1561739805,696.363525,1102.0,23.340097,101.256134,29.098999,"[{""name"": ""raspberries"", ""grams"": 2.580645}, {""name"": ""broccoli"", ""grams"": 264.0}, {""name"": ""berries"", ""grams"": 249.0}, {""name"": ""sweet potato"", ""grams"": 84.0}, {""name"": ""scrambled eggs"", ""grams"": 165.0}, {""name"": ""cantaloupe"", ""grams"": 300.0}, {""name"": ""vinaigrette"", ""grams"": 2.580645}, {""name"": ""mixed greens"", ""grams"": 25.80645}, {""name"": ""blackberries"", ""grams"": 2.580645}, {""name"": ""granola"", ""grams"": 6.451612}]"
dish_1551378719,55.630001,153.0,0.352,12.295,2.976,"[{""name"": ""asparagus"", ""grams"": 15.0}, {""name"": ""cantaloupe"", ""grams"": 80.0}, {""name"": ""brussels sprouts"", ""grams"": 59.0}]"
dish_1560442258,289.369995,185.0,16.400999,21.112,15.089001,"[{""name"": ""bacon"", ""grams"": 38.0}, {""name"": ""berries"", ""grams"": 147.0}]"
dish_1563220109,184.735962,174.0,7.398599,22.408951,8.018723,"[{""name"": ""pepperoni pizza"", ""grams"": 52.0}, {""name"": ""salt"", ""grams"": 0.281134}, {""name"": ""olive oil"", ""grams"": 0.749692}, {""name"": ""squash"", ""grams"": 74.96917}, {""name"": ""broccoli"", ""grams"": 46.0}]"
dish_1562096542,38.0896,50.0,2.763935,3.123378,0.942013,"[{""name"": ""parsley"", ""grams"": 0.166389}, {""name"": ""salt"", ""grams"": 0.041597}, {""name"": ""mixed greens"", ""grams"": 16.638935}, {""name"": ""garlic"", ""grams"": 0.166389}, {""name"": ""artichokes"", ""grams"": 2.66223}, {""name"": ""olive oil"", ""grams"": 2.66223}, {""name"": ""beets"", ""grams"": 1.331115}, {""name"": ""green beans"", ""grams"": 25.0}, {""name"": ""vinegar"", ""grams"": 1.331115}]"
dish_1562963612,184.080002,156.0,7.228,21.632,9.048,"[{""name"": ""pizza"", ""grams"": 52.0}, {""name"": ""caesar salad"", ""grams"": 104.0}]"
dish_1551236775,231.529999,175.0,11.709001,9.27,21.570999,"[{""name"": ""beef"", ""grams"": 77.0}, {""name"": ""mushroom"", ""grams"": 30.0}, {""name"": ""orange"", ""grams"": 69.0}]"
dish_1559845767,236.23201,375.0,0.481,58.011997,3.648,"[{""name"": ""pears"", ""grams"": 201.0}, {""name"": ""mandarin oranges"", ""grams"": 53.0}, {""name"": ""potatoes"", ""grams"": 121.0}]"
dish_1551381921,135.752014,96.0,1.875,28.466999,4.26,"[{""name"": ""corn"", ""grams"": 41.0}, {""name"": ""asparagus"", ""grams"": 13.0}, {""name"": ""tortilla"", ""grams"": 43.0}]"
dish_1565725244,573.546021,590.0,19.376999,28.073997,72.006996,"[{""name"": ""parmesan cheese"", ""grams"": 21.0}, {""name"": ""cherry tomatoes"", ""grams"": 67.0}, {""name"": ""chicken"", ""grams"": 187.0}, {""name"": ""bell peppers"", ""grams"": 80.0}, {""name"": ""carrot"", ""grams"": 66.0}, {""name"": ""olives"", ""grams"": 44.0}, {""name"": ""onions"", ""grams"": 56.0}, {""name"": ""caesar dressing"", ""grams"": 69.0}]"
