case,age_group,goal,method,valid,safe,score_before,score_after,norm_l1,norm_l2,n_changed,n_unavailable,n_hard_violations,evaluations,runtime_s,note,soft_score_after,surrogate_after,hard_rule_ids,hard_sodium_ceiling_mg,planned_sodium_mg,final_sodium_mg,planned_breached_hard_sodium
1,toddler,glycemic_control,dice_random,0,0,0.0378,0.0378,0.0,0.0,0,0,1,6001,1.718,evaluation_budget_exhausted,0.3776,0.3761,flag.strict_no_added_sugar.added_sugars_g,,39.5,39.5,0
2,toddler,weight_management,dice_random,0,0,0.0332,0.0332,0.0,0.0,0,0,1,6001,1.151,evaluation_budget_exhausted,0.3319,0.2265,flag.strict_no_added_sugar.added_sugars_g,,4.7,4.7,0
3,toddler,glycemic_control,dice_random,1,1,0.0267,0.8216,1.4105,0.7083,7,1,0,5013,1.365,,0.8216,0.747,,,335.9,228.7,0
4,toddler,glycemic_control,dice_random,0,0,0.0043,0.0043,0.0,0.0,0,0,2,6001,1.301,evaluation_budget_exhausted,0.4295,0.4635,flag.strict_no_added_sugar.added_sugars_g;toddler.choking.hard_raw_vegetable,,285.6,285.6,0
5,toddler,glycemic_control,dice_random,1,1,0.2332,0.7385,0.5528,0.3753,3,1,0,4013,1.001,,0.7385,0.7046,,,78.5,77.4,0
6,toddler,weight_management,dice_random,0,0,0.0625,0.0807,0.0777,0.047,4,0,1,2013,0.729,,0.807,0.7736,toddler.choking.hard_raw_vegetable,,418.1,391.0,0
7,toddler,balanced_nutrition,dice_random,0,0,0.6095,0.0697,0.7319,0.4681,3,1,1,2013,0.684,,0.6971,0.7026,toddler.choking.nut_butter,,247.3,247.3,0
8,toddler,balanced_nutrition,dice_random,1,1,0.6866,0.7469,0.3344,0.2989,3,1,0,2013,0.741,,0.7469,0.7372,,,757.7,751.0,0
9,toddler,weight_management,dice_random,0,1,0.3229,0.3229,0.0,0.0,0,0,0,6001,1.209,evaluation_budget_exhausted,0.3229,0.3544,,,48.1,48.1,0
10,toddler,glycemic_control,dice_random,0,0,0.0381,0.0381,0.0,0.0,0,0,1,6001,1.333,evaluation_budget_exhausted,0.3814,0.3687,flag.strict_no_added_sugar.added_sugars_g,,1711.5,1711.5,0
11,toddler,weight_management,dice_random,0,0,0.0032,0.0032,0.0,0.0,0,0,2,6001,1.391,evaluation_budget_exhausted,0.3246,0.3026,flag.strict_no_added_sugar.added_sugars_g;toddler.choking.nut,,95.5,95.5,0
12,toddler,weight_management,dice_random,0,0,0.0066,0.0751,0.6492,0.5574,4,0,1,2013,0.766,,0.7512,0.7153,toddler.choking.hard_raw_vegetable,,1602.9,1533.3,0
13,toddler,weight_management,dice_random,0,1,0.4788,0.4788,0.0,0.0,0,0,0,6001,1.095,evaluation_budget_exhausted,0.4788,0.4672,,,2309.6,2309.6,0
14,toddler,weight_management,dice_random,1,1,0.4641,0.7629,0.5344,0.4719,4,0,0,2013,0.649,,0.7629,0.7619,,,387.9,268.1,0
15,toddler,weight_management,dice_random,0,0,0.4222,0.073,0.5422,0.3315,3,0,1,4013,0.952,,0.7297,0.7058,toddler.choking.meat_chunk,,668.4,755.5,0
16,toddler,weight_management,dice_random,1,1,0.3632,0.7164,2.2085,2.1915,1,1,0,2013,0.64,,0.7164,0.7116,,,51.6,80.5,0
17,toddler,weight_management,dice_random,0,0,0.0029,0.0029,0.0,0.0,0,0,2,6001,1.335,evaluation_budget_exhausted,0.2903,0.2933,flag.strict_no_added_sugar.added_sugars_g;toddler.choking.nut,,28.5,28.5,0
18,toddler,weight_management,dice_random,0,1,0.5224,0.5224,0.0,0.0,0,0,0,6001,1.184,evaluation_budget_exhausted,0.5224,0.5118,,,2120.8,2120.8,0
19,toddler,weight_management,dice_random,0,0,0.0041,0.0041,0.0,0.0,0,0,2,6001,1.293,evaluation_budget_exhausted,0.4105,0.4046,toddler.choking.hard_raw_vegetable;toddler.choking.meat_chunk,,678.7,678.7,0
20,toddler,balanced_nutrition,dice_random,1,1,0.0428,0.7808,1.3503,1.2342,3,0,0,2013,0.644,,0.7808,0.7331,,,159.2,190.3,0
21,toddler,weight_management,dice_random,0,0,0.6821,0.0758,0.2113,0.177,2,0,1,2013,0.674,,0.758,0.7281,flag.strict_no_added_sugar.added_sugars_g,,1228.4,1371.4,0
22,toddler,glycemic_control,dice_random,1,1,0.517,0.7695,3.3641,2.328,2,1,0,2013,0.645,,0.7695,0.7183,,,1.4,276.6,0
23,toddler,balanced_nutrition,dice_random,0,1,0.495,0.495,0.0,0.0,0,0,0,6001,1.255,evaluation_budget_exhausted,0.495,0.4569,,,959.0,959.0,0
24,toddler,balanced_nutrition,dice_random,0,0,0.0542,0.0831,0.7497,0.3939,4,0,1,4013,0.978,,0.8315,0.706,toddler.choking.seed,,123.1,182.2,0
25,toddler,weight_management,dice_random,0,1,0.5081,0.5081,0.0,0.0,0,0,0,6001,1.249,evaluation_budget_exhausted,0.5081,0.466,,,190.5,190.5,0
