source,metric,value,n
foodcom,n_rows,20000,
foodcom,n_meals,10575,
foodcom,match_score,89.9884,
foodcom,median_kcal,345.41,
foodcom,abs_rel_error_carbohydrate_g,0.3598,10515
foodcom,abs_rel_error_cholesterol_mg,0.4059,9037
foodcom,abs_rel_error_energy_kcal,0.2154,10530
foodcom,abs_rel_error_fat_g,0.3437,10508
foodcom,abs_rel_error_fiber_g,0.5441,10220
foodcom,abs_rel_error_protein_g,0.3550,10513
foodcom,abs_rel_error_saturated_fat_g,0.4117,10366
foodcom,abs_rel_error_sodium_mg,0.5577,10533
foodcom,abs_rel_error_sugars_g,0.4859,10449
nutrition5k,n_rows,5006,
nutrition5k,n_meals,1602,
nutrition5k,match_score,93.0334,
nutrition5k,median_kcal,239.59,
nutrition5k,abs_rel_error_carbohydrate_g,0.2210,1476
nutrition5k,abs_rel_error_energy_kcal,0.1508,1477
nutrition5k,abs_rel_error_fat_g,0.2335,1477
nutrition5k,abs_rel_error_protein_g,0.2033,1477
