method,age_group,n,validity,usable_validity,safety_violation,soft_score_after
dice_genetic,adult,100,0.04,0.04,0.06,0.41279200000000005
dice_genetic,older_adult,100,0.0,0.0,0.24,0.386931
dice_genetic,toddler,100,0.02,0.02,0.5,0.469952
dice_random,adult,100,0.53,0.23,0.08,0.594802
dice_random,older_adult,100,0.3,0.1,0.25,0.536389
dice_random,toddler,100,0.37,0.19,0.38,0.637359
foodsense_de,adult,100,0.3,0.3,0.0,0.615538
foodsense_de,older_adult,100,0.25,0.25,0.0,0.610608
foodsense_de,toddler,100,0.32,0.32,0.0,0.635622
greedy,adult,100,0.68,0.33,0.04,0.722921
greedy,older_adult,100,0.44,0.23,0.27,0.710732
greedy,toddler,100,0.43,0.3,0.38,0.728142
wachter,adult,100,0.5,0.12,0.07,0.681464
wachter,older_adult,100,0.37,0.09,0.28,0.6939690000000001
wachter,toddler,100,0.14,0.04,0.62,0.677757
wachter_restricted,adult,100,0.54,0.54,0.05,0.7101479999999999
wachter_restricted,older_adult,100,0.35,0.35,0.29,0.711274
wachter_restricted,toddler,100,0.14,0.14,0.7,0.705907
