case,age_group,goal,bucket,score_after,soft_score_after,surrogate_after,surrogate_gap,planned_sodium_mg,final_sodium_mg,hard_rule_ids
1,toddler,glycemic_control,B_soft_score_shortfall,0.6622,0.6622,0.6828,0.02059999999999995,39.5,288.9,
2,toddler,weight_management,B_soft_score_shortfall,0.6796,0.6796,0.6999,0.020299999999999985,4.7,3.4,
3,toddler,glycemic_control,C_calibration_gap,0.6589,0.6589,0.7003,0.04139999999999999,335.9,358.1,
6,toddler,weight_management,B_soft_score_shortfall,0.6749,0.6749,0.6769,0.0019999999999998908,418.1,421.2,
7,toddler,balanced_nutrition,B_soft_score_shortfall,0.5647,0.5647,0.546,-0.01869999999999994,247.3,243.3,
8,toddler,balanced_nutrition,B_soft_score_shortfall,0.6814,0.6814,0.6602,-0.021199999999999997,757.7,754.8,
11,toddler,weight_management,B_soft_score_shortfall,0.6927,0.6927,0.6859,-0.006800000000000028,95.5,84.2,
13,toddler,weight_management,B_soft_score_shortfall,0.6081,0.6081,0.5869,-0.021199999999999997,2309.6,1840.5,
14,toddler,weight_management,B_soft_score_shortfall,0.5244,0.5244,0.5459,0.021500000000000075,387.9,266.5,
17,toddler,weight_management,B_soft_score_shortfall,0.6761,0.6761,0.686,0.00990000000000002,28.5,67.0,
18,toddler,weight_management,B_soft_score_shortfall,0.5224,0.5224,0.5108,-0.011599999999999944,2120.8,2118.9,
19,toddler,weight_management,B_soft_score_shortfall,0.6836,0.6836,0.6557,-0.027900000000000036,678.7,721.2,
21,toddler,weight_management,B_soft_score_shortfall,0.6668,0.6668,0.6381,-0.028699999999999948,1228.4,1226.3,
23,toddler,balanced_nutrition,B_soft_score_shortfall,0.494,0.494,0.478,-0.016000000000000014,959.0,840.2,
25,toddler,weight_management,B_soft_score_shortfall,0.5208,0.5208,0.4856,-0.035200000000000065,190.5,114.8,
26,toddler,balanced_nutrition,C_calibration_gap,0.6654,0.6654,0.7026,0.03720000000000001,47.2,94.9,
27,toddler,balanced_nutrition,B_soft_score_shortfall,0.5745,0.5745,0.5699,-0.0046000000000000485,116.8,117.2,
